DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINTEREST
2015-07-16,119.33,119.56,119.26,119.48,31550,64355
2015-07-17,119.48,119.63,119.39,119.63,17417,64426
2015-07-20,119.48,119.68,119.43,119.68,37698,66897
2015-07-21,119.6,119.86,119.56,119.78,27432,67665
2015-07-22,119.88,120.15,119.74,120.15,28814,69703
2015-07-23,120.15,120.78,120.15,120.64,42472,72915
2015-07-24,120.72,121.22,120.69,120.98,46596,74447
2015-07-27,120.98,121.12,120.79,120.85,40132,78206
2015-07-28,121.02,121.07,120.37,120.52,61925,76625
2015-07-29,120.4,120.78,120.39,120.78,32909,76048
2015-07-30,120.72,120.72,120.42,120.44,36911,75397
2015-07-31,120.43,120.68,119.93,120.04,39434,76629
2015-08-03,120.28,120.44,120.18,120.31,30399,75932
2015-08-04,120.53,120.59,120.22,120.22,42345,75661
2015-08-05,120.02,120.15,119.83,120.13,44498,75759
2015-08-06,119.93,120.35,119.87,120.27,43282,75749
2015-08-07,120.39,120.44,120.01,120.25,35404,73830
2015-08-10,120.48,120.88,120.38,120.88,42653,74039
2015-08-11,120.71,121.25,120.62,121.18,58126,76459
2015-08-12,121.38,121.93,121.19,121.88,52425,79377
2015-08-13,121.68,121.76,121.29,121.48,57019,80329
2015-08-17,121.37,121.66,121.21,121.64,51818,87164
2015-08-18,121.68,121.87,121.49,121.67,35696,87025
2015-08-19,121.5,121.77,121.33,121.35,53206,87600
2015-08-20,121.57,121.71,121.5,121.7,36413,86708
2015-08-21,121.89,122.06,121.42,121.88,57102,84808
2015-08-24,121.89,122.58,121.82,122.58,47277,84625
2015-08-25,122.38,122.44,122.11,122.27,57001,84628
2015-08-26,122.27,122.46,121.89,121.97,52925,85192
2015-08-27,121.63,121.93,121.53,121.93,50153,85035
2015-08-28,121.79,121.82,121.45,121.63,43059,81396
2015-08-31,121.53,121.73,121.42,121.54,34593,80005
2015-09-01,121.35,121.5,121.27,121.5,47319,80933
2015-09-02,121.75,121.96,121.61,121.83,52416,80992
2015-09-03,121.75,122,121.62,121.69,46128,80512
2015-09-04,121.78,122.21,121.6,122.16,53247,79942
2015-09-07,122.14,122.36,122.07,122.29,39765,79870
2015-09-08,122.29,122.37,121.95,122.27,57594,78577
2015-09-09,122.05,122.22,121.94,122.02,52411,78645
2015-09-10,122.14,122.33,122.08,122.28,38183,75965
2015-09-11,122.23,122.29,121.91,122.18,50157,57428
2015-09-14,122.14,122.22,121.8,121.8,35888,28307
2015-09-15,121.82,122.12,121.66,122.05,50598,72149
2015-09-16,121.68,121.86,121.63,121.78,39826,73246
2015-09-17,121.64,122.03,121.56,121.83,51982,72793
2015-09-18,122.4,122.74,122.36,122.6,52142,72101
2015-09-21,122.9,123.13,122.77,123.05,52604,74741
2015-09-22,122.92,123.14,122.84,123.14,40901,75656
2015-09-23,123.34,123.35,123.08,123.25,51068,74464
2015-09-24,123.21,123.43,122.98,122.99,52538,76042
2015-09-25,122.98,123.33,122.86,123.27,52280,77031
2015-09-30,123.64,124.13,123.6,123.97,57710,74419
2015-10-01,123.82,124,123.49,123.53,50487,74105
2015-10-02,123.73,123.8,123.49,123.8,28942,74918
2015-10-05,124.21,124.26,123.9,124.25,43073,75452
2015-10-06,123.98,124.25,123.93,124.14,50637,75988
2015-10-07,124.12,124.15,123.73,123.77,44406,76494
2015-10-08,123.73,123.86,123.53,123.73,53599,75369
2015-10-12,123.43,123.45,123.1,123.1,32955,77421
2015-10-13,123.15,123.44,123.08,123.38,49350,77173
2015-10-14,123.45,123.59,123.2,123.4,50497,77827
2015-10-15,123.65,124.17,123.65,124.1,59812,77948
2015-10-16,123.9,124.07,123.81,124.04,33486,76879
2015-10-19,123.92,124,123.64,123.93,44495,77093
2015-10-20,123.97,124.08,123.63,123.69,43655,78144
2015-10-21,123.5,123.63,123.27,123.57,56978,75648
2015-10-22,123.75,123.78,123.35,123.4,52279,73413
2015-10-23,123.33,123.63,123.19,123.63,37520,73509
2015-10-26,123.4,123.74,123.39,123.7,38019,73348
2015-10-27,123.7,124.1,123.68,124.06,41670,74565
2015-10-28,124.23,124.72,124.12,124.31,66105,75966
2015-10-29,124.01,124.33,123.97,124.14,46946,75094
2015-10-30,123.43,123.72,123.35,123.46,57443,74650
2015-11-02,123.57,123.65,123.39,123.42,40897,72574
2015-11-03,123.25,123.38,123.09,123.1,61910,75215
2015-11-04,122.95,123.02,122.73,122.99,48346,74790
2015-11-05,122.97,123.2,122.88,123.08,43876,74025
2015-11-06,123.09,123.14,122.6,122.6,43733,72931
2015-11-09,121.91,122.01,121.57,121.57,58019,72918
2015-11-10,121.73,121.97,121.55,121.9,52210,71662
2015-11-11,121.92,121.92,121.2,121.5,49782,71648
2015-11-12,121.35,121.8,121.3,121.35,55126,70605
2015-11-13,121.41,121.58,121.15,121.32,36200,71769
2015-11-16,122,122.06,121.67,121.81,47055,70030
2015-11-17,121.64,121.8,121.58,121.6,36684,71110
2015-11-18,121.7,121.81,121.59,121.75,33398,72171
2015-11-19,121.84,122.07,121.75,122.07,38203,71609
2015-11-20,122.14,122.38,121.97,121.97,40448,69985
2015-11-23,121.97,122.03,121.75,121.78,37978,70597
2015-11-24,121.92,122.06,121.79,121.89,30397,70183
2015-11-25,121.9,122.18,121.89,122.17,25211,69003
2015-11-26,122.1,122.31,121.98,122.29,35019,68306
2015-11-27,122.4,122.49,121.96,121.96,35481,67695
2015-11-30,122.1,122.23,121.92,122.18,32352,68851
2015-12-01,122.05,122.36,121.91,121.91,47611,70085
2015-12-02,122.31,122.35,122.02,122.07,28034,71534
2015-12-03,122.05,122.14,121.95,121.99,30590,71076
2015-12-04,121.3,121.64,121.1,121.64,35167,71754
2015-12-07,121.63,121.72,121.54,121.66,28959,72697
2015-12-08,121.9,122.4,121.89,122.38,37973,73426
2015-12-09,122.35,122.61,122.31,122.59,42096,74868
2015-12-10,122.65,122.75,122.27,122.68,42451,71242
2015-12-11,122.59,122.62,122.34,122.35,31778,54418
2015-12-14,122.71,122.87,122.55,122.55,29226,24757
2015-12-15,122.39,122.71,122.3,122.7,35018,63885
2015-12-16,122.52,122.56,122.36,122.51,34975,63742
2015-12-17,122.66,123.08,122.53,123.04,34775,65889
2015-12-18,123.11,123.66,122.99,123.46,37325,67380
2015-12-21,123.56,123.9,123.33,123.73,34846,67773
2015-12-22,123.73,123.81,123.46,123.58,29228,67768
2015-12-23,123.46,123.69,123.43,123.58,19699,69199
2015-12-24,123.43,123.82,123.43,123.71,17575,68106
2015-12-28,123.73,123.87,123.67,123.69,15166,67209
2015-12-29,123.84,124.11,123.82,123.91,17317,67259
2015-12-30,123.81,124.06,123.57,123.86,31999,67850
2016-01-04,123.82,124.53,123.78,124.33,33937,69998
2016-01-05,124.33,124.36,124.01,124.17,44184,70444
2016-01-06,124.17,124.45,124.13,124.41,36498,72202
