Date,Open,High,Low,Close,Volume,OpenInt
2013-02-13,109.61,109.65,109.27,109.31,44982,54217
2013-02-14,109.13,109.68,109.03,109.22,66161,56133
2013-02-15,109.22,109.39,109.21,109.31,54842,56116
2013-02-18,109.46,109.6,109.4,109.44,59563,56927
2013-02-19,109.5,109.85,109.49,109.85,73899,58187
2013-02-20,109.86,109.87,109.57,109.67,55771,58749
2013-02-21,109.74,110.05,109.74,109.98,68781,59668
2013-02-22,110.07,110.07,109.77,109.9,58811,58885
2013-02-25,109.92,110.05,109.9,109.95,41614,59033
2013-02-26,110.25,110.46,110.16,110.41,56183,55843
2013-02-27,110.4,110.81,110.38,110.78,57052,57877
2013-02-28,110.74,110.82,110.5,110.67,62310,58408
2013-03-04,110.78,110.78,110.6,110.7,45818,55896
2013-03-05,110.63,110.84,110.56,110.84,45114,55811
2013-03-06,110.7,110.83,110.62,110.62,55903,54874
2013-03-07,110.58,110.65,110.28,110.28,64046,54196
2013-03-08,110.1,110.38,110.1,110.29,73233,56733
2013-03-11,110.14,110.22,109.93,110.22,79025,57650
2013-03-12,110.28,110.73,110.28,110.63,67879,57760
2013-03-13,110.72,110.77,110.51,110.51,54806,54608
2013-03-14,110.52,110.89,110.44,110.6,63707,57652
2013-03-15,110.62,110.93,110.53,110.85,52395,46352
2013-03-18,111.02,111.26,111.02,111.2,49558,24860
2013-03-19,111.15,111.33,111,111.3,63914,45509
2013-03-20,111.1,111.23,110.91,111.07,96136,50552
2013-03-21,110.89,111.13,110.8,111.08,81130,54080
2013-03-22,111.2,111.32,111.18,111.32,62974,55715
2013-03-25,111.22,111.39,111.18,111.21,65032,57849
2013-03-26,111.33,111.37,111.15,111.25,76580,59935
2013-03-27,111.26,111.36,111.21,111.36,39974,60002
2013-03-28,111.7,112.61,111.67,112.61,81946,58253
2013-03-29,112.65,112.67,111.9,112,56669,59970
2013-04-01,111.81,112.26,111.61,111.9,66973,61804
2013-04-02,111.93,112.05,111.85,111.95,61931,61368
2013-04-03,111.92,112.26,111.88,112.14,61173,64954
2013-04-04,112.48,112.48,112.05,112.05,57226,64173
2013-04-05,112.25,112.42,112.15,112.42,55665,63706
2013-04-08,112.42,112.72,112.31,112.34,66763,63336
2013-04-09,112.38,112.43,112.07,112.07,54284,62994
2013-04-10,112.11,112.27,112.04,112.19,43982,62792
2013-04-11,112,112.07,110.9,111.06,59879,61379
2013-04-12,110.75,110.79,110.34,110.55,57620,61310
2013-04-15,110.61,110.74,110.49,110.68,62376,59329
2013-04-16,111.01,111.69,111.01,111.3,81119,58287
2013-04-17,111.19,111.53,111.19,111.32,76106,59438
2013-04-18,111.48,111.78,111.47,111.77,62638,59685
2013-04-19,111.77,111.89,111.64,111.67,57465,59501
2013-04-22,111.7,111.81,111.64,111.64,52911,60828
2013-04-23,111.63,112.01,111.58,111.83,75607,61868
2013-04-24,112.01,112.04,111.71,111.9,72876,61620
2013-04-25,111.89,112.29,111.78,112.18,85136,59877
2013-04-26,112.2,112.62,112.15,112.45,72169,56956
2013-04-29,112.64,112.9,112.41,112.41,52171,56198
2013-04-30,112.8,112.94,112.64,112.78,81236,56231
2013-05-02,113.45,113.54,113.18,113.22,64979,54052
2013-05-03,113.4,113.41,113.13,113.13,65566,54907
2013-05-06,112.7,112.89,112.37,112.46,71082,55237
2013-05-07,112.47,112.82,112.32,112.55,75133,53958
2013-05-08,112.59,112.69,112.13,112.35,90001,55106
2013-05-09,112.56,113.22,112.14,112.14,81186,54230
2013-05-10,112,112.08,111.71,111.88,58696,55178
2013-05-13,111.46,111.7,111.37,111.7,51629,55900
2013-05-14,111.83,112.01,111.81,111.82,52006,54454
2013-05-15,111.57,111.77,111.44,111.77,62410,56952
2013-05-16,111.7,111.74,111.56,111.71,38354,57626
2013-05-20,111.53,111.53,111.3,111.35,53130,55230
2013-05-21,111.44,111.52,111.28,111.35,44986,55710
2013-05-22,111.45,111.51,111.17,111.22,50775,55994
2013-05-23,110.69,111.24,110.53,111.24,85082,57956
2013-05-24,111,111.48,110.85,111.19,66291,57516
2013-05-27,111.38,111.53,111.23,111.35,65033,58460
2013-05-28,111.28,111.39,111.13,111.13,62970,60242
2013-05-29,110.56,110.6,109.72,110.1,88080,62979
2013-05-30,109.91,110.3,109.91,110.02,60596,60491
2013-05-31,110,110.05,109.32,109.35,62526,62508
2013-06-03,109.47,109.55,109.32,109.5,43415,60706
2013-06-04,109.51,109.7,109.31,109.31,65746,59885
2013-06-05,108.97,109.17,108.88,108.92,67005,61218
2013-06-07,109.2,109.37,109.14,109.37,48501,60172
2013-06-10,108.98,109.13,108.57,109.13,74771,58676
2013-06-11,109.02,109.18,108.61,108.61,78539,56871
2013-06-12,108.72,108.91,107.55,107.55,93885,54398
2013-06-13,107.55,108.28,107.28,108.16,81250,53374
2013-06-14,108.64,108.87,108.38,108.8,79798,45342
2013-06-17,108.8,108.99,108.19,108.19,72490,27460
2013-06-18,108.09,109.29,108.06,109.14,67043,35206
2013-06-19,109.14,109.45,108.79,108.79,75452,35880
2013-06-20,107.37,107.74,106.74,107.14,70365,38486
2013-06-21,106.61,106.8,105.59,105.59,62159,39799
2013-06-24,105.48,105.94,104.55,104.64,56877,42441
2013-06-25,105.5,105.66,105.06,105.52,55803,39800
2013-06-26,104.74,106.63,104.74,106.29,56179,38005
